SystematicName	StandardName	Aliases	Timepoint1	Timepoint2	Timepoint3	Timepoint4	Timepoint5	Timepoint6	Timepoint7	Timepoint8	Timepoint9	Timepoint10	Timepoint11	Timepoint12	Timepoint13	Timepoint14	Timepoint15
YLR148W	PEP3	VPT18|VPS18|VAM8	1271.091275	1085.415178	1180.004953	1139.636374	1049.983312	977.7120863	1030.034785	1140.288642	1160.334645	1010.717158	960.9481658	1005.818695	1030.674192	1048.322541	1137.751778
YOR342C	-	-	1234.944895	2912.400995	4822.641851	4884.602018	4645.550317	3297.044813	2412.698531	3527.731327	4952.167351	4695.027143	3890.034337	3000.369485	3163.236688	3381.787158	3303.791403
YOL070C	NBA1	-	627.0900514	633.5724442	685.073153	713.9796605	683.54546	1009.264042	1834.793267	2397.533732	2142.832276	1468.437194	1137.511464	1270.739199	1557.649163	1452.960178	1475.154842
YIL043C	CBR1	CBR5	10904.2987	11196.69859	13126.4816	12699.08112	12366.77549	12046.94284	11444.10384	10624.70072	11162.18766	11383.50309	11409.24306	11061.51937	11114.86055	10391.3132	10342.43799
YDL160C	DHH1	-	7261.550095	5575.307749	5334.716383	5636.654566	5300.525253	6276.525842	6465.100635	6116.811027	6299.214575	7322.767521	6455.115956	7055.368151	7139.261403	6663.967636	6536.14787
YGR231C	PHB2	-	6864.148928	5088.02536	3214.820966	3085.112282	3327.630946	3730.467893	4252.458331	4994.125602	5265.497756	5113.306118	4680.970095	4748.840409	5238.185774	5275.24185	5347.064971
YNL021W	HDA1	-	1507.714358	1591.466237	1401.778813	1764.294113	1642.342658	1400.377033	1494.203722	1647.092999	1595.042363	1602.735176	1574.014911	1412.048239	1564.788471	1567.967996	1620.342665
YMR266W	RSN1	-	3405.83257	4520.19272	6420.80264	5631.586803	5184.628977	6024.949013	6143.812906	5409.737832	5333.235163	5339.430983	5625.851839	5266.200305	4693.010482	4284.629892	4534.940237
YGR034W	RPL26B	-	14582.55554	15384.23847	16551.45778	16049.56214	15924.39251	16583.68302	16736.46153	16539.06844	16540.1936	16706.7532	16259.77443	16883.9969	16160.41854	16919.22606	16076.39009
YPL107W	-	-	2241.707689	1815.232935	1549.175774	1443.310769	1266.015571	1037.335954	1041.223437	1246.916888	1169.442094	1053.630039	981.8815838	994.2486895	1019.589645	946.2237196	941.7339924
YGR088W	CTT1	SPS101	23356.65104	10948.41989	790.3133309	465.2771373	415.3988467	323.6760048	383.4197183	420.1133013	533.8338893	569.9405395	478.0739636	457.2090982	548.7828426	549.9452655	598.6860205
YCR063W	BUD31	CWC14	1042.590043	2072.346288	1933.700431	2502.770039	1827.79975	1786.334096	1608.318629	1429.971337	1501.958643	1451.836316	1601.963664	1295.667702	1371.663473	1199.299677	1292.794009
