"","X0","X10","X20","X30","X40","X50","X60","X70","X80","X90","X100","X110","X120","X130","X140","X150"
"YAR033W",6.64046625066265,6.14970036987561,6.32225397331093,6.2505655009099,6.48304214429115,6.08163847418232,6.25783678273164,6.17664495670835,6.45428630834974,6.57520086802655,6.20675549097695,6.43298085749964,6.47395764054848,6.60244082439771,6.18423469398333,6.24425202958991
"YAR035W",6.65841819069661,7.51523232747368,7.75666627481166,7.9512640610742,7.60924942041849,7.29729581354078,6.98347793083774,7.09634736194998,7.62657073599698,7.69057800813253,7.39796285112992,6.95570468357689,6.91944192806434,6.78262780933501,7.09152588755187,7.25610021840331
"YAR035C-A",4.45783027132443,4.45783027132443,4.45783027132443,4.77557505258564,4.45783027132443,4.76958736030736,4.45783027132443,4.45783027132443,4.77221993707515,4.45783027132443,4.75869233215101,4.72408483337083,4.45783027132443,4.45783027132443,4.45783027132443,4.95224846247566
"YAR042W",11.4691779708096,11.5235965326577,11.4246049897579,11.5362342660532,11.552450732807,11.6587659711999,11.7094707449201,11.727515980071,11.7078676048194,11.6299770320053,11.5461171346166,11.6570581197501,11.6488535450693,11.705377898768,11.7665054456389,11.7331074546784
"YAR050W",8.35190146123595,8.41335759954786,8.27983471363367,8.45458469317999,8.46070017196462,8.62966277346479,8.78951738066165,8.73572269796581,8.74276603982607,8.72304808267721,8.54153340202096,8.39557154780626,8.16368154532616,8.29444124790674,8.18525839969286,8.06625072139054
"YAR064W",4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.72408483337083,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443
"YAR066W",4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443
"YAR068W",4.93035769268101,4.74779920786704,4.8641018486245,5.00599010885242,4.77744333884602,4.89787195310651,4.45783027132443,4.45783027132443,4.90157342289527,4.78098123738258,4.45783027132443,4.91770204929784,4.79816090578518,4.74631895167244,4.75437933290187,4.45783027132443
"YAR071W",5.63500670787966,6.5407056802732,6.63844381489816,6.49116193339331,6.23754285793713,6.65792056858996,7.17286233553321,7.06030526205758,6.35880547620004,6.20864122370318,6.39678344085218,7.1485338787419,7.89784916291501,7.96629985530015,7.88088493164664,7.58953991644443
"YBL113C",7.85150119035341,8.46173553555335,8.20421101221591,7.79169155444589,7.56813259472135,7.52770597435612,7.76678919846104,8.24900184412161,8.33178621445381,8.01733288741968,7.91564307770757,7.74375627397061,7.86754609508338,8.08898966501078,8.37626136992589,8.38549275981489
"YBL112C",4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443
"YBL111C",4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443
"YBL108C-A",4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443,4.45783027132443
"YBL107C",10.5985120660023,10.4742062057421,10.3775725264434,10.0861945208335,9.94967352075635,9.8129710905741,9.88465859375165,9.9877268830553,9.99873034634805,9.87860218126903,10.1052373636788,10.071932289984,10.0708147256593,10.2574877940255,10.2442884320938,10.3546707848523
"YBL106C",10.1336734582317,10.3673292446986,10.17677840052,10.1474025240534,10.2224849465219,10.3886512068598,10.4199133008232,10.3001764675165,10.1367592371053,10.0253644835013,10.1052373636788,10.1550434090742,10.1757185235587,10.1806358291762,10.0700969333544,10.0089984556198
"YBL105C",12.1951531495538,11.9650164066466,11.9101942837369,11.8740064493422,12.1249902453983,12.285646215719,12.3845484764418,12.2435950162368,12.0985588354833,12.0528736847873,12.1203125828524,12.2334754890693,12.2705902405153,12.3225353868209,12.2250691044923,12.1536293693189
"YBL104C",11.0597024616171,11.0517086936125,11.0915451152844,11.0330615927338,11.1576015680236,11.3046862630903,11.4451699201768,11.3967996668364,11.2673957975936,11.2113018040219,11.2878370726099,11.3323695595128,11.3628390502797,11.3707747095875,11.3554269902752,11.2214024658398
"YBL103C",10.0664293894629,10.0189835379662,10.04398217562,10.1017418850836,10.2106631116809,10.1712235633669,10.2279170594002,10.2294984956165,10.1151073951934,10.1459171426064,10.2036048051589,10.1635692823054,10.2120488361396,10.1795390619392,10.2095041951989,10.1358919657636
"YBL102W",10.6906909023226,10.8210975960852,10.7138211073422,10.6667114662509,10.6151366908016,10.6978752162453,10.8437062805614,10.7592056163354,10.761338439747,10.7956504341519,10.9846579625271,10.9726746740592,10.9787495657413,10.9702938450831,10.9841394810444,11.0439832310358
