orf_name,coverage_rep1,coverage_rep2
YDL091C,0.98,0.98
YDL090C,0.98,0.98
YDL089W,0.98,0.98
YDL088C,0.98,0.98
YDL087C,0.98,0.98
YDL086W,0.98,0.98
YDL085C-A,0.98,0.98
YDL085W,0.98,0.98
YDL084W,0.98,0.98
YDL083C,0.98,0.98
YDL082W,0.98,0.98
YDL081C,0.98,0.98
YDL080C,0.98,0.98
YDL079C,0.98,0.98
YDL078C,0.98,0.98
YDL077C,0.98,0.98
YDL076C,0.98,0.98
YDL075W,0.98,0.98
YDL074C,0.98,0.98
YDL073W,0.98,0.98
YDL072C,0.98,0.98
YDL070W,0.98,0.98
YDL069C,0.98,0.98
YDL067C,0.98,0.98
YDL066W,0.98,0.98
YDL065C,0.98,0.98
YDL064W,0.98,0.98
YDL063C,0.98,0.98
YDL061C,0.98,0.98
YDL060W,0.98,0.98
YDL059C,0.98,0.98
YDL058W,0.98,0.98
YDL057W,0.98,0.98
YDL056W,0.98,0.98
YDL055C,0.98,0.98
YDL054C,0.98,0.98
YDL053C,0.98,0.98
YDL052C,0.98,0.98
YDL051W,0.98,0.98
YDL049C,0.98,0.98
YDL048C,0.98,0.98
YDL047W,0.98,0.98
YDL046W,0.98,0.98
YDL045W-A,0.98,0.98
YDL045C,0.98,0.98
YDL044C,0.98,0.98
YDL043C,0.98,0.98
YDL042C,0.98,0.98
YDL040C,0.98,0.98
YDL039C,0.64,0.6
YDL037C,0.98,0.98
YDL036C,0.98,0.98
YDL035C,0.98,0.98
YDL033C,0.98,0.98
YDL031W,0.98,0.98
YDL030W,0.98,0.98
YDL029W,0.98,0.98
YDL028C,0.98,0.98
YDL027C,0.98,0.98
YDL025C,0.98,0.98
YDL024C,0.98,0.98
YDL022W,0.98,0.98
YDL021W,0.98,0.98
YDL020C,0.98,0.98
YDL019C,0.98,0.98
YDL018C,0.98,0.98
YDL017W,0.98,0.98
YDL015C,0.98,0.98
YDL014W,0.98,0.98
YDL013W,0.98,0.98
YDL012C,0.98,0.98
YDL010W,0.98,0.98
YDL008W,0.98,0.98
YDL007C-A,0.92,0.92
YDL007W,0.98,0.98
YDL006W,0.98,0.98
YDL005C,0.98,0.98
YDL004W,0.98,0.98
YDL003W,0.98,0.98
YDL002C,0.98,0.98
YDL001W,0.98,0.98
YDR001C,0.98,0.98
YDR002W,0.98,0.98
YDR003W,0.98,0.98
YDR003W-A,0.98,0.98
YDR004W,0.98,0.98
YDR005C,0.98,0.98
YDR006C,0.98,0.98
YDR007W,0.98,0.98
YDR009W,0.98,0.98
YDR011W,0.98,0.98
YDR012W,0.86,0.8
YDR013W,0.98,0.98
YDR014W,0.98,0.98
YDR014W-A,0.98,0.98
YDR016C,0.98,0.98
YDR017C,0.98,0.98
YDR018C,0.98,0.98
YDR019C,0.98,0.98
YDR020C,0.98,0.98
YDR021W,0.98,0.98
YDR022C,0.98,0.98
YDR023W,0.98,0.98
YDR025W,0.98,0.98
YDR026C,0.98,0.98
YDR027C,0.98,0.98
YDR028C,0.98,0.98
YDR030C,0.98,0.98
YDR031W,0.98,0.98
YDR032C,0.98,0.98
YDR033W,0.98,0.98
YDR034C,0.98,0.98
YDR034C-A,0.98,0.98
YDR034W-B,0.98,0.98
