orf_name,replication_time,replication_H_index
YDL002C,7.8347,111.0
YDL001W,7.8347,111.0
YDR001C,7.8347,111.0
YDR002W,7.8347,111.0
YDR003W,7.2535,110.0
YDR003W-A,7.2535,110.0
YDR004W,6.6724,109.0
YDR005C,6.6724,109.0
YDR006C,7.8347,111.0
YDR007W,7.8347,111.0
YDR009W,8.4159,112.0
YDR011W,7.2535,110.0
YDR013W,7.8347,111.0
YDR014W,7.8347,111.0
YDR014W-A,7.8347,111.0
YDR016C,7.8347,111.0
YDR017C,7.2535,110.0
YDR018C,7.2535,110.0
YDR019C,6.6724,109.0
YDR020C,6.6724,109.0
YDR021W,6.6724,109.0
YDR022C,6.6724,109.0
YDR023W,7.2535,110.0
YDR025W,7.2535,110.0
YDR026C,7.2535,110.0
YDR027C,7.8347,111.0
YDR028C,7.2535,110.0
YDR030C,6.6724,109.0
YDR031W,6.6724,109.0
YDR032C,6.6724,109.0
YDR033W,7.2535,110.0
YDR034C,7.8347,111.0
YDR034C-A,8.4159,112.0
YDR034W-B,8.997,113.0
YDR035W,8.997,113.0
YDR036C,8.997,113.0
YDR037W,8.4159,112.0
YDR040C,6.6724,109.0
YDR041W,6.6724,109.0
YDR042C,6.6724,109.0
YDR043C,6.6724,109.0
YDR044W,6.0912,108.0
YDR045C,6.6724,109.0
YDR046C,4.9289,106.0
YDR047W,6.0912,108.0
YDR049W,5.51,107.0
YDR050C,4.9289,106.0
YDR051C,5.51,107.0
YDR052C,6.0912,108.0
YDR054C,6.0912,108.0
YDR055W,7.2535,110.0
YDR056C,6.6724,109.0
YDR057W,6.6724,109.0
YDR058C,7.2535,110.0
YDR059C,7.2535,110.0
YDR060W,7.2535,110.0
YDR061W,8.4159,112.0
YDR062W,8.4159,112.0
YDR063W,7.8347,111.0
YDR064W,8.997,113.0
YDR065W,8.997,113.0
YDR066C,9.5782,114.0
YDR067C,10.1593,115.0
YDR068W,10.1593,115.0
YDR069C,11.3217,117.0
YDR070C,11.3217,117.0
YDR071C,11.3217,117.0
YDR072C,11.9028,118.0
YDR073W,11.9028,118.0
YDR074W,12.484,119.0
YDR075W,14.8086,123.0
YDR076W,15.3898,124.0
YDR077W,15.971,125.0
YDR078C,15.971,125.0
YDR079W,14.8086,123.0
YDR079C-A,14.8086,123.0
YDR080W,14.8086,123.0
YDR081C,13.0652,120.0
YDR082W,13.0652,120.0
YDR083W,13.6463,121.0
YDR084C,14.2275,122.0
YDR085C,14.2275,122.0
YDR086C,13.6463,121.0
YDR087C,13.6463,121.0
YDR088C,12.484,119.0
