"","X0","X20","X30","X40","X50","X60","X70","X80","X90","X100","X110","X120","X130","X140","X150"
"YIL102C",0,1.74108485689146,3.18135808789673,0,2.0459426276759,1.07226552360082,0,1.04286036566714,1.1005542929616,1.90309987808212,0,0,1.75097490628409,0,0
"YIL101C",359.143257804589,225.470488967445,191.941937969769,138.78951686147,105.366045325309,122.238269690494,106.452037748365,111.586059126384,107.854320710237,69.4631455499975,70.7901727226958,68.2832267968398,70.9144837045056,100.006321410595,119.046228520413
"YIL099W",181.934413493114,146.251127978883,123.012512732007,102.209334122788,135.032213426609,115.804676548889,145.556867941642,147.043311559067,115.558200760968,119.895292319174,147.541623148355,152.417916957232,117.315318721034,162.047280063464,134.573997457858
"YIL098C",834.062960559342,742.57269146421,532.347253374719,503.515456520682,466.474919110104,521.121044469999,677.817056683465,704.973607190988,681.243107343231,637.538459157512,600.598728573608,630.40050453511,666.245951841096,703.748187704187,787.602946660412
"YIL097W",1194.38761065934,463.999114361575,406.153382554816,398.078459215069,374.407500864689,382.798791925493,457.30926420471,420.272727363859,458.931140164988,388.232375128753,385.992731266909,496.272737612746,520.039547166375,548.182798843261,524.493528553703
"YIL096C",289.441112375409,2164.16847711609,2101.81724340377,2176.52087295158,2156.4235295704,2186.34940262207,1913.96418890427,1736.36250883579,1723.46802277787,1609.07094691844,1606.56434094876,1459.55397278245,1357.88103982331,1067.66007950385,890.258752413522
"YIL095W",2164.31068519081,1573.94071062988,1560.98636846133,1692.37139552785,1667.44324155586,1799.26154860218,1613.07424547267,1548.64764301571,1478.04441544743,1455.87140673283,1401.64541990938,1582.70764968389,1453.30917221579,1467.68536514623,1345.73997457858
"YIL094C",7267.92540136129,6059.84584441074,7008.53186763649,8205.79569846847,9065.5717832319,9662.184633167,9839.20977474171,9790.37311288314,10678.6783046064,12742.2052336989,14676.665704697,14771.1251681592,13611.2034339994,12011.8703827615,10573.5479925703
"YIL093C",993.550920439669,974.136977430774,817.609028589459,816.598785254696,787.68791165522,836.36710840864,923.308490674592,1000.10309067479,1066.43710987979,1108.55567898284,1080.4815836622,1070.58344870759,1087.35541680242,1202.85381029966,1350.91589755773
"YIL092W",450.110464551146,633.754887908493,647.936597234967,785.398041154056,844.974305230145,810.632735842221,722.353113292475,715.40221084766,681.243107343231,733.645003000659,813.714406454566,768.186301464447,735.409460639318,677.820622894032,615.072180688799
"YIL091C",1610.2376986436,6059.84584441074,5976.71139446199,6681.26278844751,6709.6688474631,6697.37046041073,6232.87543469507,5514.64561364785,5225.43178298168,5372.45095582584,5540.26246519203,5040.76534960956,4500.00550915011,3634.48899570912,3515.31435667161
