Gene_ID,Gene_name,Fourier_score,P_value,FDR
YPR043W,RPL43A,7.9332832536268,0.00147,0.100210975609756
YML098W,TAF13,8.16074390812526,0.00149,0.100350602409639
YKL168C,KKQ8,7.99683755635119,0.00156,0.103814285714286
YHR108W,GGA2,8.22911563633933,0.00158,0.103908235294118
YHR061C,GIC1,8.04934327460139,0.00162,0.1053
YAL036C,RBG1,8.06507400234846,0.00166,0.105447727272727
YHR135C,YCK1,7.91925233243151,0.00166,0.105447727272727
YDL054C,MCH1,8.07532319654451,0.00168,0.105519101123595
YMR011W,HXT2,7.65898397465473,0.00173,0.107452222222222
YGL108C,YGL108C,8.04571397904385,0.00176,0.108114285714286
YKL167C,MRP49,7.51670380025148,0.00184,0.109744852941176
YER032W,FIR1,8.16675080803748,0.00187,0.109744852941176
YMR206W,YMR206W,7.83474890392145,0.00191,0.109744852941176
YPL079W,RPL21B,7.62869629037301,0.00192,0.109744852941176
YDR368W,YPR1,7.92506288005041,0.00194,0.109744852941176
YDR033W,MRH1,7.94715779885897,0.00195,0.109744852941176
YAR007C,RFA1,7.97980094237311,0.00196,0.109744852941176
YLR456W,YLR456W,8.02768378824268,0.00197,0.109744852941176
YDR251W,PAM1,8.00933848430851,0.00199,0.109744852941176
YDR079C-A,TFB5,8.03055476056415,0.002,0.109744852941176
YAL027W,SAW1,7.99342686760102,0.00205,0.109744852941176
YLR229C,CDC42,7.47645653490776,0.00211,0.109744852941176
YDR050C,TPI1,7.70508616302978,0.00213,0.109744852941176
YIR003W,AIM21,7.99239977882701,0.00215,0.109744852941176
YPL253C,VIK1,7.97818335262003,0.00215,0.109744852941176
YOR238W,YOR238W,7.7916704804318,0.0022,0.109744852941176
YGL234W,"ADE5,7",7.51010408239437,0.00222,0.109744852941176
YLR420W,URA4,7.6987057656166,0.00223,0.109744852941176
YJR094W-A,RPL43B,7.40464258048033,0.00224,0.109744852941176
YDR356W,SPC110,7.97894196448015,0.00225,0.109744852941176
YDR444W,YDR444W,7.78480222067048,0.00227,0.109744852941176
YCR099C,YCR099C,7.60780568997297,0.0023,0.109744852941176
YLR321C,SFH1,7.63542954894795,0.00232,0.109744852941176
YGR006W,PRP18,7.17376992421897,0.00234,0.109744852941176
YER187W,YER187W,7.95463866747729,0.00238,0.109744852941176
YJR069C,HAM1,7.90062580527845,0.00239,0.109744852941176
YHR010W,RPL27A,7.51991072114688,0.00245,0.109744852941176
YKL005C,BYE1,7.98056266681122,0.00245,0.109744852941176
YNL250W,RAD50,7.64813827888628,0.00246,0.109744852941176
YPL047W,SGF11,7.80111198223066,0.00249,0.109744852941176
YGL078C,DBP3,7.83643893331197,0.00251,0.109744852941176
YER044C-A,MEI4,7.48818108303627,0.00255,0.109744852941176
YOR250C,CLP1,7.9149269420431,0.00255,0.109744852941176
YOR253W,NAT5,8.01296506452143,0.00255,0.109744852941176
YDR364C,CDC40,7.88156597895289,0.00256,0.109744852941176
YGR108W,CLB1,7.42570952011272,0.00257,0.109744852941176
YBR072C-A,YBR072C-A,7.55580390308178,0.0026,0.109744852941176
YPR060C,ARO7,7.84106072502881,0.00261,0.109744852941176
YHR174W,ENO2,8.02442319549158,0.00263,0.109744852941176
YDL055C,PSA1,7.86964829525757,0.00264,0.109744852941176
YPL054W,LEE1,7.71001517007958,0.00264,0.109744852941176
YDR533C,HSP31,7.47013146634801,0.00265,0.109744852941176
YNL144C,YNL144C,7.99959489971379,0.00265,0.109744852941176
YKL215C,OXP1,7.57340908964634,0.00266,0.109744852941176
YBR022W,POA1,7.8511103744923,0.00267,0.109744852941176
YFR039C,YFR039C,7.63574088361336,0.00274,0.1118
YFR019W,FAB1,7.76525498415924,0.0028,0.1118
YPR086W,SUA7,7.8548832422916,0.0028,0.1118
YHR001W,OSH7,7.82778004531896,0.00282,0.1118
YBR123C,TFC1,7.64881160472075,0.00286,0.1118
YAR002W,NUP60,7.98760450795291,0.00288,0.1118
YGR279C,SCW4,7.86378216433606,0.00288,0.1118
